count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2024-12-20T13:54:53.505116+00:00,fr56x7z6d5c5,Crashing instance,0,4975.0,BM: 4392 > 3676,---,0
1,2024-12-20T13:54:53.487116+00:00,vbcuth8b0jhj,Crashing instance,0,4354.0,BM: 4125 > 3676,---,0
2,2024-12-20T13:54:53.474498+00:00,dd68owudg0me,Crashing instance,0,3864.0,BM: 3746 > 3676,---,0
3,2024-12-20T13:54:53.461880+00:00,272vw7ieqgrw,Crashing instance,0,3203.0,BM: 6716 > 3676,---,0
4,2024-12-20T13:54:53.402118+00:00,si4xq5i4ir4z,Execution finished,4,2345.0,BM PASSED: 3632,491,1803
5,2024-12-20T13:54:56.466737+00:00,s0x1j2g9t174,Crashing instance,0,4999.0,BM: 4281 > 3676,---,0
6,2024-12-20T13:54:56.456645+00:00,116wcaidk1h3,Crashing instance,0,4475.0,BM: 3860 > 3676,---,0
7,2024-12-20T13:54:56.448201+00:00,orlgrhfbpa56,Crashing instance,0,3610.0,BM: 5129 > 3676,---,0
8,2024-12-20T13:54:56.429095+00:00,lquz72omhfx6,Crashing instance,0,2813.0,BM: 4135 > 3676,---,0
9,2024-12-20T13:54:56.408872+00:00,ste9036p7axs,Crashing instance,0,2272.0,BM: 5714 > 3676,---,0
10,2024-12-20T13:55:20.929657+00:00,fhv07mfnkv6e,Crashing instance,0,26597.0,BM: 3794 > 3676,---,0
11,2024-12-20T13:54:56.392418+00:00,si4xl2rcu3rw,Execution finished,5,2007.0,Fast instance,201,1802
12,2024-12-20T13:55:20.922378+00:00,3xc26t4dvgbp,Crashing instance,0,26102.0,BM: 3767 > 3676,---,0
13,2024-12-20T13:55:20.915610+00:00,cpcb0ct380gk,Crashing instance,0,25276.0,BM: 5315 > 3676,---,0
14,2024-12-20T13:55:20.900942+00:00,gvto74p7zani,Crashing instance,0,24641.0,BM: 3688 > 3676,---,0
15,2024-12-20T13:55:20.894415+00:00,hr3p9ki1lmig,Crashing instance,0,24283.0,BM: 5648 > 3676,---,0
16,2024-12-20T13:54:59.511627+00:00,ebj3pd0f0s5j,Crashing instance,0,2095.0,BM: 3804 > 3676,---,0
17,2024-12-20T13:54:59.504435+00:00,si4xvi95cz7z,Execution finished,1,1958.0,Fast instance,76,1880
18,2024-12-20T13:55:17.020040+00:00,uzscql2v69vh,Crashing instance,0,19216.0,BM: 3689 > 3676,---,0
19,2024-12-20T13:55:17.013641+00:00,01duardds62l,Crashing instance,0,18581.0,BM: 6785 > 3676,---,0
20,2024-12-20T13:55:20.887080+00:00,3troftnjlc6b,Crashing instance,0,21565.0,BM: 3891 > 3676,---,0
21,2024-12-20T13:55:20.870519+00:00,y29gki4iu7v6,Crashing instance,0,20803.0,BM: 4182 > 3676,---,0
22,2024-12-20T13:55:02.405437+00:00,si4x8h5x3qiv,Execution finished,0,1765.0,Fast instance,75,1688
23,2024-12-20T13:55:20.862033+00:00,e3ubbejiqgri,Crashing instance,0,10144.0,BM: 3932 > 3676,---,0
24,2024-12-20T13:55:20.851276+00:00,4869d87u1vtx,Crashing instance,0,6690.0,BM: 3679 > 3676,---,0
25,2024-12-20T13:55:17.006326+00:00,x7givv9wamgf,Crashing instance,0,2058.0,BM: 4014 > 3676,---,0
26,2024-12-20T13:55:16.996806+00:00,si4xbph55l4q,Execution finished,3,1545.0,Fast instance,137,1407
27,2024-12-20T13:55:19.795591+00:00,si4xukv4ipwh,Execution finished,0,1736.0,Fast instance,127,1607
28,2024-12-20T13:55:20.843745+00:00,qitjagvury4u,Crashing instance,0,374.0,BM: 4369 > 3676,---,0
29,2024-12-20T13:55:20.789403+00:00,dr03gly84vhc,Max retries reached,10,8.0,BM: 3940 > 3676,---,0
30,2024-12-20T13:55:22.696029+00:00,si4x4byrbvba,Execution finished,0,1795.0,Fast instance,185,1608
31,2024-12-20T13:55:48.607249+00:00,f7s19t115yw9,Crashing instance,0,25893.0,BM: 3999 > 3676,---,0
32,2024-12-20T13:55:48.597634+00:00,x3x6c7qeip90,Crashing instance,0,25551.0,BM: 3896 > 3676,---,0
33,2024-12-20T13:55:48.589620+00:00,dr03stz9sxps,Crashing instance,0,25045.0,BM: 4089 > 3676,---,0
34,2024-12-20T13:55:48.583168+00:00,22pi13cbwfdx,Crashing instance,0,24969.0,BM: 4403 > 3676,---,0
35,2024-12-20T13:55:25.599129+00:00,si4xsl3kzbgk,Execution finished,0,1819.0,Fast instance,209,1607
36,2024-12-20T13:55:27.334626+00:00,smtl7dms3lwe,Crashing instance,0,3288.0,BM: 4012 > 3676,---,0
37,2024-12-20T13:55:48.576805+00:00,njmot7flhbxc,Crashing instance,0,24483.0,BM: 3950 > 3676,---,0
38,2024-12-20T13:55:48.561052+00:00,5gvetv4l81r7,Crashing instance,0,23784.0,BM: 4332 > 3676,---,0
39,2024-12-20T13:55:27.325727+00:00,ozd7fxoav8gx,Crashing instance,0,1956.0,BM: 3882 > 3676,---,0
40,2024-12-20T13:55:27.318415+00:00,si4xcr2dmfp7,Execution finished,2,1536.0,Fast instance,54,1480
41,2024-12-20T13:55:29.108567+00:00,yqtgvx8pvbmt,Crashing instance,0,2456.0,BM: 3990 > 3676,---,0
42,2024-12-20T13:55:29.101868+00:00,cd81bylrx28k,Crashing instance,0,2055.0,BM: 24166 > 3676,---,0
43,2024-12-20T13:55:29.095538+00:00,si4xhwojgxw0,Execution finished,2,1703.0,Fast instance,199,1501
44,2024-12-20T13:55:30.989060+00:00,si4xin7tnfps,Execution finished,0,1863.0,Fast instance,165,1696
45,2024-12-20T13:55:33.303982+00:00,9mjz01ossxm4,Crashing instance,0,2292.0,BM: 4274 > 3676,---,0
46,2024-12-20T13:55:33.296838+00:00,si4xe5lo2bpt,Execution finished,1,1745.0,Fast instance,134,1607
47,2024-12-20T13:55:35.108048+00:00,ayid0rpybspo,Crashing instance,0,3033.0,BM: 4374 > 3676,---,0
48,2024-12-20T13:55:35.101876+00:00,y2fguwlzmdlh,Crashing instance,0,2651.0,BM: 3757 > 3676,---,0
49,2024-12-20T13:55:35.094846+00:00,eo0day8wgxex,Crashing instance,0,2066.0,BM: 3776 > 3676,---,0
